ID,Eu estou satisfeito com o serviço entregue pelo transporte público ,O serviço transporte Público correspondem às minhas expectativas,Considero que as minhas necessidades de deslocamento estão sendo atendidos pelo transporte público,Considero que o transporte público tem um bom custo benefício ,Considero que sou recompensado por usar o transporte público,Cartões,Aplicativos de celular,Qr Code,Bilhete impresso
593,1,1,1,1,1,2,2,2,2
594,1,1,1,1,1,2,2,2,2
595,1,1,1,1,1,2,2,3,3
596,1,1,1,1,1,2,2,3,2
597,1,1,1,1,1,2,2,2,2
598,1,1,1,1,1,2,2,3,2
599,1,1,1,1,1,2,2,2,2
600,1,1,1,1,1,2,2,2,2
601,4,4,4,4,3,1,1,0,1
602,4,4,3,3,1,1,1,1,0
603,2,2,3,1,1,2,3,3,3
604,3,1,4,4,1,1,1,4,4
605,3,4,3,4,3,2,2,1,0
606,2,2,4,2,4,2,1,1,3
607,3,3,3,3,3,4,4,4,4
608,1,1,1,1,1,2,2,2,1
609,1,1,3,2,1,2,1,4,1
610,2,3,1,2,1,3,3,3,3
611,4,4,3,4,2,2,2,4,4
612,4,4,4,4,4,1,1,4,4
613,2,2,2,3,4,4,4,4,4
614,2,2,4,2,1,2,4,4,4
615,2,2,2,2,2,4,1,4,4
616,3,3,3,3,3,1,4,1,3
617,2,2,2,3,2,4,4,4,4
618,2,1,4,3,1,2,2,4,4
619,1,1,1,1,1,1,1,0,3
620,3,3,1,1,3,4,4,4,4
621,2,2,2,2,2,1,1,1,1
622,2,3,2,3,1,4,0,0,4
623,4,3,2,4,2,1,1,1,4
624,2,2,2,2,1,0,0,0,0
625,1,1,1,1,1,1,1,0,3
626,2,2,1,1,2,4,4,4,4
627,2,2,4,4,4,2,1,4,4
628,4,4,4,4,3,1,4,4,1
629,1,1,2,3,1,2,4,4,4
630,3,2,2,3,3,0,3,0,3
631,2,2,4,2,2,2,0,0,3
632,4,4,4,4,4,0,0,4,0
633,2,2,3,2,2,2,1,1,1
634,1,1,1,1,1,4,3,4,4
635,3,3,3,4,3,1,1,1,4
636,2,2,2,1,1,3,3,3,3
637,2,2,4,2,2,1,1,0,2
638,2,1,2,2,4,1,1,1,0
639,2,2,2,3,3,2,1,1,2
640,2,2,3,3,2,2,4,4,2
641,3,3,3,3,3,1,0,0,0
642,3,4,4,4,3,2,0,0,0
643,2,2,2,2,1,2,0,0,2
644,3,3,3,2,1,1,1,1,1
645,2,2,2,2,1,1,1,1,0
646,1,2,3,2,1,4,0,0,0
647,1,1,2,1,1,0,4,4,4
648,2,2,4,1,1,2,4,4,2
649,1,1,1,1,1,1,1,1,1
650,1,1,1,1,1,4,4,4,2
651,1,1,2,2,1,1,0,0,1
652,1,1,1,1,1,2,2,2,2
653,1,1,1,1,1,2,2,3,2
654,1,1,1,1,1,2,2,2,2
655,1,1,1,1,1,2,3,3,2
656,1,1,1,1,1,2,2,2,2
657,1,1,1,1,1,2,2,2,2
658,1,1,1,1,1,2,3,3,2
659,1,1,1,1,1,2,3,3,2
660,1,1,1,1,1,2,3,3,2
661,1,1,1,1,1,2,3,3,1
662,1,1,1,1,1,2,2,2,2
663,1,1,1,1,1,2,3,3,3
664,1,1,1,1,1,2,2,2,2
665,1,1,1,1,1,2,2,2,2
666,1,1,1,1,1,1,3,3,2
667,1,1,1,1,1,2,3,3,2
668,1,1,1,1,1,2,3,3,2
